+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION      | CVE DESCRIPTION                                 |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2016:1292 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1700     | procps-ng                | 3.3.10-5.el7_2       | The procps-ng packages contain a set of system  |
|            |                         |                          |                      | utilities that provide system information,      |
|            |                         |                          |                      | including ps, free, skill, pkill, pgrep, snice, |
|            |                         |                          |                      | tload, top, uptime, vmstat, w, watch, and       |
|            |                         |                          |                      | pwdx. Security Fix(es): * procps-ng, procps:    |
|            |                         |                          |                      | Integer overflows leading to heap overflow      |
|            |                         |                          |                      | in file2strvec (CVE-2018-1124) * procps-ng,     |
|            |                         |                          |                      | procps: incorrect integer size in proc/alloc.*  |
|            |                         |                          |                      | leading to truncation / integer overflow issues |
|            |                         |                          |                      | (CVE-2018-1126) For more details about the      |
|            |                         |                          |                      | security issue(s), including the impact, a CVSS |
|            |                         |                          |                      | score, and other related information, refer     |
|            |                         |                          |                      | to the CVE page(s) listed in the References     |
|            |                         |                          |                      | section. Red Hat would like to thank Qualys     |
|            |                         |                          |                      | Research Labs for reporting these issues.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2018:1700 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:1940     | openssl-libs             | 1:1.0.1e-51.el7_2.5  | OpenSSL is a toolkit that implements the        |
|            |                         |                          |                      | Secure Sockets Layer (SSL) and Transport        |
|            |                         |                          |                      | Layer Security (TLS) protocols, as well as      |
|            |                         |                          |                      | a full-strength general-purpose cryptography    |
|            |                         |                          |                      | library. Security Fix(es): * A memory leak      |
|            |                         |                          |                      | flaw was found in the way OpenSSL handled       |
|            |                         |                          |                      | TLS status request extension data during        |
|            |                         |                          |                      | session renegotiation. A remote attacker        |
|            |                         |                          |                      | could cause a TLS server using OpenSSL to       |
|            |                         |                          |                      | consume an excessive amount of memory and,      |
|            |                         |                          |                      | possibly, exit unexpectedly after exhausting    |
|            |                         |                          |                      | all available memory, if it enabled OCSP        |
|            |                         |                          |                      | stapling support. (CVE-2016-6304) * It was      |
|            |                         |                          |                      | discovered that OpenSSL did not always use      |
|            |                         |                          |                      | constant time operations when computing         |
|            |                         |                          |                      | Digital Signature Algorithm (DSA) signatures.   |
|            |                         |                          |                      | A local attacker could possibly use this        |
|            |                         |                          |                      | flaw to obtain a private DSA key belonging to   |
|            |                         |                          |                      | another user or service running on the same     |
|            |                         |                          |                      | system. (CVE-2016-2178) * It was discovered     |
|            |                         |                          |                      | that the Datagram TLS (DTLS) implementation     |
|            |                         |                          |                      | could fail to release memory in certain         |
|            |                         |                          |                      | cases. A malicious DTLS client could cause      |
|            |                         |                          |                      | a DTLS server using OpenSSL to consume an       |
|            |                         |                          |                      | excessive amount of memory and, possibly, exit  |
|            |                         |                          |                      | unexpectedly after exhausting all available     |
|            |                         |                          |                      | memory. (CVE-2016-2179) * A flaw was found      |
|            |                         |                          |                      | in the Datagram TLS (DTLS) replay protection    |
|            |                         |                          |                      | implementation in OpenSSL. A remote attacker    |
|            |                         |                          |                      | could possibly use this flaw to make a DTLS     |
|            |                         |                          |                      | server using OpenSSL to reject further packets  |
|            |                         |                          |                      | sent from a DTLS client over an established     |
|            |                         |                          |                      | DTLS connection. (CVE-2016-2181) * An out       |
|            |                         |                          |                      | of bounds write flaw was discovered in the      |
|            |                         |                          |                      | OpenSSL BN_bn2dec() function. An attacker       |
|            |                         |                          |                      | able to make an application using OpenSSL       |
|            |                         |                          |                      | to process a large BIGNUM could cause the       |
|            |                         |                          |                      | application to crash or, possibly, execute      |
|            |                         |                          |                      | arbitrary code. (CVE-2016-2182) * A flaw was    |
|            |                         |                          |                      | found in the DES/3DES cipher was used as part   |
|            |                         |                          |                      | of the TLS/SSL protocol. A man-in-the-middle    |
|            |                         |                          |                      | attacker could use this flaw to recover some    |
|            |                         |                          |                      | plaintext data by capturing large amounts of    |
|            |                         |                          |                      | encrypted traffic between TLS/SSL server and    |
|            |                         |                          |                      | client if the communication used a DES/3DES     |
|            |                         |                          |                      | based ciphersuite. (CVE-2016-2183) This update  |
|            |                         |                          |                      | mitigates the CVE-2016-2183 issue by lowering   |
|            |                         |                          |                      | priority of DES cipher suites so they are not   |
|            |                         |                          |                      | preferred over cipher suites using AES. For     |
|            |                         |                          |                      | compatibility reasons, DES cipher suites remain |
|            |                         |                          |                      | enabled by default and included in the set of   |
|            |                         |                          |                      | cipher suites identified by the HIGH cipher     |
|            |                         |                          |                      | string. Future updates may move them to MEDIUM  |
|            |                         |                          |                      | or not enable them by default. * An integer     |
|            |                         |                          |                      | underflow flaw leading to a buffer over-read    |
|            |                         |                          |                      | was found in the way OpenSSL parsed TLS session |
|            |                         |                          |                      | tickets. A remote attacker could use this       |
|            |                         |                          |                      | flaw to crash a TLS server using OpenSSL if     |
|            |                         |                          |                      | it used SHA-512 as HMAC for session tickets.    |
|            |                         |                          |                      | (CVE-2016-6302) * Multiple integer overflow     |
|            |                         |                          |                      | flaws were found in the way OpenSSL performed   |
|            |                         |                          |                      | pointer arithmetic. A remote attacker could     |
|            |                         |                          |                      | possibly use these flaws to cause a TLS/SSL     |
|            |                         |                          |                      | server or client using OpenSSL to crash.        |
|            |                         |                          |                      | (CVE-2016-2177) * An out of bounds read flaw    |
|            |                         |                          |                      | was found in the way OpenSSL formatted Public   |
|            |                         |                          |                      | Key Infrastructure Time-Stamp Protocol data     |
|            |                         |                          |                      | for printing. An attacker could possibly cause  |
|            |                         |                          |                      | an application using OpenSSL to crash if it     |
|            |                         |                          |                      | printed time stamp data from the attacker.      |
|            |                         |                          |                      | (CVE-2016-2180) * Multiple out of bounds        |
|            |                         |                          |                      | read flaws were found in the way OpenSSL        |
|            |                         |                          |                      | handled certain TLS/SSL protocol handshake      |
|            |                         |                          |                      | messages. A remote attacker could possibly      |
|            |                         |                          |                      | use these flaws to crash a TLS/SSL server or    |
|            |                         |                          |                      | client using OpenSSL. (CVE-2016-6306) Red Hat   |
|            |                         |                          |                      | would like to thank the OpenSSL project for     |
|            |                         |                          |                      | reporting CVE-2016-6304 and CVE-2016-6306 and   |
|            |                         |                          |                      | OpenVPN for reporting CVE-2016-2183. Upstream   |
|            |                         |                          |                      | acknowledges Shi Lei (Gear Team of Qihoo 360    |
|            |                         |                          |                      | Inc.) as the original reporter of CVE-2016-6304 |
|            |                         |                          |                      | and CVE-2016-6306; and Karthikeyan Bhargavan    |
|            |                         |                          |                      | (Inria) and Gaëtan Leurent (Inria) as           |
|            |                         |                          |                      | the original reporters of CVE-2016-2183.        |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2016:1940 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:0062     | bind-license             | 32:9.9.4-29.el7_2.3  | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                      | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                      | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                      | a resolver library (routines for applications   |
|            |                         |                          |                      | to use when interfacing with DNS); and tools    |
|            |                         |                          |                      | for verifying that the DNS server is operating  |
|            |                         |                          |                      | correctly. Security Fix(es): * A denial         |
|            |                         |                          |                      | of service flaw was found in the way BIND       |
|            |                         |                          |                      | processed a response to an ANY query. A remote  |
|            |                         |                          |                      | attacker could use this flaw to make named exit |
|            |                         |                          |                      | unexpectedly with an assertion failure via a    |
|            |                         |                          |                      | specially crafted DNS response. (CVE-2016-9131) |
|            |                         |                          |                      | * A denial of service flaw was found in the     |
|            |                         |                          |                      | way BIND handled a query response containing    |
|            |                         |                          |                      | inconsistent DNSSEC information. A remote       |
|            |                         |                          |                      | attacker could use this flaw to make named exit |
|            |                         |                          |                      | unexpectedly with an assertion failure via a    |
|            |                         |                          |                      | specially crafted DNS response. (CVE-2016-9147) |
|            |                         |                          |                      | * A denial of service flaw was found in the     |
|            |                         |                          |                      | way BIND handled an unusually-formed DS record  |
|            |                         |                          |                      | response. A remote attacker could use this      |
|            |                         |                          |                      | flaw to make named exit unexpectedly with an    |
|            |                         |                          |                      | assertion failure via a specially crafted DNS   |
|            |                         |                          |                      | response. (CVE-2016-9444) Red Hat would like    |
|            |                         |                          |                      | to thank ISC for reporting these issues.        |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:0062 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1095     | bind-license             | 32:9.9.4-29.el7_2.3  | The Berkeley Internet Name Domain (BIND) is     |
|            |                         |                          |                      | an implementation of the Domain Name System     |
|            |                         |                          |                      | (DNS) protocols. BIND includes a DNS server     |
|            |                         |                          |                      | (named); a resolver library (routines for       |
|            |                         |                          |                      | applications to use when interfacing with DNS); |
|            |                         |                          |                      | and tools for verifying that the DNS server     |
|            |                         |                          |                      | is operating correctly. Security Fix(es):       |
|            |                         |                          |                      | * A denial of service flaw was found in the     |
|            |                         |                          |                      | way BIND handled a query response containing    |
|            |                         |                          |                      | CNAME or DNAME resource records in an unusual   |
|            |                         |                          |                      | order. A remote attacker could use this         |
|            |                         |                          |                      | flaw to make named exit unexpectedly with an    |
|            |                         |                          |                      | assertion failure via a specially crafted DNS   |
|            |                         |                          |                      | response. (CVE-2017-3137) * A denial of service |
|            |                         |                          |                      | flaw was found in the way BIND handled query    |
|            |                         |                          |                      | requests when using DNS64 with "break-dnssec    |
|            |                         |                          |                      | yes" option. A remote attacker could use this   |
|            |                         |                          |                      | flaw to make named exit unexpectedly with       |
|            |                         |                          |                      | an assertion failure via a specially crafted    |
|            |                         |                          |                      | DNS request. (CVE-2017-3136) Red Hat would      |
|            |                         |                          |                      | like to thank ISC for reporting these issues.   |
|            |                         |                          |                      | Upstream acknowledges Oleg Gorokhov (Yandex)    |
|            |                         |                          |                      | as the original reporter of CVE-2017-3136.      |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1095 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1481     | glibc-common             | 2.17-106.el7_2.6     | The glibc packages provide the standard C       |
|            |                         |                          |                      | libraries (libc), POSIX thread libraries        |
|            |                         |                          |                      | (libpthread), standard math libraries           |
|            |                         |                          |                      | (libm), and the name service cache daemon       |
|            |                         |                          |                      | (nscd) used by multiple programs on the         |
|            |                         |                          |                      | system. Without these libraries, the Linux      |
|            |                         |                          |                      | system cannot function correctly. Security      |
|            |                         |                          |                      | Fix(es): * A flaw was found in the way          |
|            |                         |                          |                      | memory was being allocated on the stack for     |
|            |                         |                          |                      | user space binaries. If heap (or different      |
|            |                         |                          |                      | memory region) and stack memory regions were    |
|            |                         |                          |                      | adjacent to each other, an attacker could       |
|            |                         |                          |                      | use this flaw to jump over the stack guard      |
|            |                         |                          |                      | gap, cause controlled memory corruption on      |
|            |                         |                          |                      | process stack or the adjacent memory region,    |
|            |                         |                          |                      | and thus increase their privileges on the       |
|            |                         |                          |                      | system. This is glibc-side mitigation which     |
|            |                         |                          |                      | blocks processing of LD_LIBRARY_PATH for        |
|            |                         |                          |                      | programs running in secure-execution mode and   |
|            |                         |                          |                      | reduces the number of allocations performed     |
|            |                         |                          |                      | by the processing of LD_AUDIT, LD_PRELOAD,      |
|            |                         |                          |                      | and LD_HWCAP_MASK, making successful            |
|            |                         |                          |                      | exploitation of this issue more difficult.      |
|            |                         |                          |                      | (CVE-2017-1000366) Red Hat would like to thank  |
|            |                         |                          |                      | Qualys Research Labs for reporting this issue.  |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1481 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:1944     | bind-license             | 32:9.9.4-29.el7_2.3  | The Berkeley Internet Name Domain (BIND) is     |
|            |                         |                          |                      | an implementation of the Domain Name System     |
|            |                         |                          |                      | (DNS) protocols. BIND includes a DNS server     |
|            |                         |                          |                      | (named); a resolver library (routines for       |
|            |                         |                          |                      | applications to use when interfacing with       |
|            |                         |                          |                      | DNS); and tools for verifying that the DNS      |
|            |                         |                          |                      | server is operating correctly. Security         |
