+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION        | CVE DESCRIPTION                                            |
|            |                         |                          |                        | as the original reporter. All nss, nss-util                |
|            |                         |                          |                        | and nspr users are advised to upgrade                      |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these issues.                |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2015:1981            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2016:0176 | glibc                    | 2.17-78.el7            | The glibc packages provide the standard C                  |
|            |                         |                          |                        | libraries (libc), POSIX  thread libraries                  |
|            |                         |                          |                        | (libpthread), standard math libraries (libm),              |
|            |                         |                          |                        | and the  name service cache daemon (nscd)                  |
|            |                         |                          |                        | used by multiple programs on the  system.                  |
|            |                         |                          |                        | Without these libraries, the Linux system                  |
|            |                         |                          |                        | cannot function  correctly. A stack-based                  |
|            |                         |                          |                        | buffer overflow was found in the way the                   |
|            |                         |                          |                        | libresolv library performed dual A/AAAA DNS                |
|            |                         |                          |                        | queries. A remote attacker could create a                  |
|            |                         |                          |                        | specially crafted DNS response which could                 |
|            |                         |                          |                        | cause libresolv to crash or, potentially,                  |
|            |                         |                          |                        | execute code with the permissions of the user              |
|            |                         |                          |                        | running the library. Note: this issue is only              |
|            |                         |                          |                        | exposed when libresolv is called from the                  |
|            |                         |                          |                        | nss_dns NSS service module. (CVE-2015-7547) It             |
|            |                         |                          |                        | was discovered that the calloc implementation              |
|            |                         |                          |                        | in glibc could return memory areas which                   |
|            |                         |                          |                        | contain non-zero bytes. This could result in               |
|            |                         |                          |                        | unexpected application behavior such as hangs              |
|            |                         |                          |                        | or crashes. (CVE-2015-5229) The CVE-2015-7547              |
|            |                         |                          |                        | issue was discovered by the Google Security                |
|            |                         |                          |                        | Team and Red Hat. Red Hat would like to thank              |
|            |                         |                          |                        | Jeff Layton for reporting the CVE-2015-5229                |
|            |                         |                          |                        | issue. This update also fixes the following                |
|            |                         |                          |                        | bugs: * The existing implementation of the                 |
|            |                         |                          |                        | "free" function causes all memory pools beyond             |
|            |                         |                          |                        | the first to return freed memory directly to               |
|            |                         |                          |                        | the operating system as quickly as possible.               |
|            |                         |                          |                        | This can result in performance degradation                 |
|            |                         |                          |                        | when the rate of free calls is very high.                  |
|            |                         |                          |                        | The first memory pool (the main pool) does                 |
|            |                         |                          |                        | provide a method to rate limit the returns                 |
|            |                         |                          |                        | via M_TRIM_THRESHOLD, but this method is not               |
|            |                         |                          |                        | available to subsequent memory pools. With                 |
|            |                         |                          |                        | this update, the M_TRIM_THRESHOLD method is                |
|            |                         |                          |                        | extended to apply to all memory pools, which               |
|            |                         |                          |                        | improves performance for threads with very                 |
|            |                         |                          |                        | high amounts of free calls and limits the                  |
|            |                         |                          |                        | number of "madvise" system calls. The change               |
|            |                         |                          |                        | also increases the total transient memory                  |
|            |                         |                          |                        | usage by processes because the trim threshold              |
|            |                         |                          |                        | must be reached before memory can be freed.                |
|            |                         |                          |                        | To return to the previous behavior, you can                |
|            |                         |                          |                        | either set M_TRIM_THRESHOLD using the "mallopt"            |
|            |                         |                          |                        | function, or set the MALLOC_TRIM_THRESHOLD                 |
|            |                         |                          |                        | environment variable to 0. (BZ#1298930) *                  |
|            |                         |                          |                        | On the little-endian variant of 64-bit IBM                 |
|            |                         |                          |                        | Power Systems (ppc64le), a bug in the dynamic              |
|            |                         |                          |                        | loader could cause applications compiled with              |
|            |                         |                          |                        | profiling enabled to fail to start with the                |
|            |                         |                          |                        | error "monstartup: out of memory". The bug has             |
|            |                         |                          |                        | been corrected and applications compiled for               |
|            |                         |                          |                        | profiling now start correctly. (BZ#1298956)                |
|            |                         |                          |                        | All glibc users are advised to upgrade                     |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these issues.                |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:0176            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2016:0370 | nss-util                 | 3.19.1-3.el7_1         | Network Security Services (NSS) is a                       |
|            |                         |                          |                        | set of libraries designed to support the                   |
|            |                         |                          |                        | cross-platform development of security-enabled             |
|            |                         |                          |                        | client and server applications. The nss-util               |
|            |                         |                          |                        | package provides a set of utilities for                    |
|            |                         |                          |                        | NSS and the Softoken module. A heap-based                  |
|            |                         |                          |                        | buffer overflow flaw was found in the way NSS              |
|            |                         |                          |                        | parsed certain ASN.1 structures. An attacker               |
|            |                         |                          |                        | could use this flaw to create a specially                  |
|            |                         |                          |                        | crafted certificate which, when parsed by                  |
|            |                         |                          |                        | NSS, could cause it to crash, or execute                   |
|            |                         |                          |                        | arbitrary code, using the permissions of the               |
|            |                         |                          |                        | user running an application compiled against               |
|            |                         |                          |                        | the NSS library. (CVE-2016-1950) Red Hat                   |
|            |                         |                          |                        | would like to thank the Mozilla project for                |
|            |                         |                          |                        | reporting this issue. Upstream acknowledges                |
|            |                         |                          |                        | Francis Gabriel as the original reporter.                  |
|            |                         |                          |                        | All nss-util users are advised to upgrade                  |
|            |                         |                          |                        | to these updated packages, which contain a                 |
|            |                         |                          |                        | backported patch to correct this issue. For                |
|            |                         |                          |                        | the update to take effect, all applications                |
|            |                         |                          |                        | linked to the nss and nss-util library                     |
|            |                         |                          |                        | must be restarted, or the system rebooted.                 |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:0370            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-util                 | 3.19.1-3.el7_1         | Network Security Services (NSS) is a                       |
|            |                         |                          |                        | set of libraries designed to support the                   |
|            |                         |                          |                        | cross-platform development of security-enabled             |
|            |                         |                          |                        | client and server applications. The nss-util               |
|            |                         |                          |                        | packages provide utilities for use with the                |
|            |                         |                          |                        | Network Security Services (NSS) libraries.                 |
|            |                         |                          |                        | The following packages have been upgraded                  |
|            |                         |                          |                        | to a newer upstream version: nss (3.28.4),                 |
|            |                         |                          |                        | nss-util (3.28.4). Security Fix(es): * An                  |
|            |                         |                          |                        | out-of-bounds write flaw was found in the                  |
|            |                         |                          |                        | way NSS performed certain Base64-decoding                  |
|            |                         |                          |                        | operations. An attacker could use this flaw to             |
|            |                         |                          |                        | create a specially crafted certificate which,              |
|            |                         |                          |                        | when parsed by NSS, could cause it to crash or             |
|            |                         |                          |                        | execute arbitrary code, using the permissions              |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2017-5461) Red               |
|            |                         |                          |                        | Hat would like to thank the Mozilla project                |
|            |                         |                          |                        | for reporting this issue. Upstream acknowledges            |
|            |                         |                          |                        | Ronald Crane as the original reporter.                     |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1100            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-sysinit              | 3.19.1-5.el7_1         | Network Security Services (NSS) is a                       |
|            |                         |                          |                        | set of libraries designed to support the                   |
|            |                         |                          |                        | cross-platform development of security-enabled             |
|            |                         |                          |                        | client and server applications. The nss-util               |
|            |                         |                          |                        | packages provide utilities for use with the                |
|            |                         |                          |                        | Network Security Services (NSS) libraries.                 |
|            |                         |                          |                        | The following packages have been upgraded                  |
|            |                         |                          |                        | to a newer upstream version: nss (3.28.4),                 |
|            |                         |                          |                        | nss-util (3.28.4). Security Fix(es): * An                  |
|            |                         |                          |                        | out-of-bounds write flaw was found in the                  |
|            |                         |                          |                        | way NSS performed certain Base64-decoding                  |
|            |                         |                          |                        | operations. An attacker could use this flaw to             |
|            |                         |                          |                        | create a specially crafted certificate which,              |
|            |                         |                          |                        | when parsed by NSS, could cause it to crash or             |
|            |                         |                          |                        | execute arbitrary code, using the permissions              |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2017-5461) Red               |
|            |                         |                          |                        | Hat would like to thank the Mozilla project                |
|            |                         |                          |                        | for reporting this issue. Upstream acknowledges            |
|            |                         |                          |                        | Ronald Crane as the original reporter.                     |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1100            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2015:1981 | nss-sysinit              | 3.19.1-5.el7_1         | Network Security Services (NSS) is a set of                |
|            |                         |                          |                        | libraries designed to support  cross-platform              |
|            |                         |                          |                        | development of security-enabled client                     |
|            |                         |                          |                        | and server applications. Netscape Portable                 |
|            |                         |                          |                        | Runtime (NSPR) provides platform independence              |
|            |                         |                          |                        | for non-GUI operating system facilities.  A                |
|            |                         |                          |                        | use-after-poison flaw and a heap-based buffer              |
|            |                         |                          |                        | overflow flaw were found in the way NSS parsed             |
|            |                         |                          |                        | certain ASN.1 structures. An attacker could                |
|            |                         |                          |                        | use these flaws to cause NSS to crash or                   |
|            |                         |                          |                        | execute arbitrary code with the permissions                |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2015-7181,                   |
|            |                         |                          |                        | CVE-2015-7182) A heap-based buffer overflow                |
|            |                         |                          |                        | was found in NSPR. An attacker could use                   |
|            |                         |                          |                        | this flaw to cause NSPR to crash or execute                |
|            |                         |                          |                        | arbitrary code with the permissions of the                 |
|            |                         |                          |                        | user running an application compiled against               |
|            |                         |                          |                        | the NSPR library. (CVE-2015-7183) Note:                    |
|            |                         |                          |                        | Applications using NSPR's PL_ARENA_ALLOCATE,               |
|            |                         |                          |                        | PR_ARENA_ALLOCATE, PL_ARENA_GROW, or                       |
|            |                         |                          |                        | PR_ARENA_GROW macros need to be rebuild                    |
|            |                         |                          |                        | against the fixed nspr packages to completely              |
|            |                         |                          |                        | resolve the CVE-2015-7183 issue. This erratum              |
|            |                         |                          |                        | includes nss and nss-utils packages rebuilt                |
|            |                         |                          |                        | against the fixed nspr version. Red Hat                    |
|            |                         |                          |                        | would like to thank the Mozilla project for                |
|            |                         |                          |                        | reporting these issues. Upstream acknowledges              |
|            |                         |                          |                        | Tyson Smith, David Keeler and Ryan Sleevi                  |
|            |                         |                          |                        | as the original reporter. All nss, nss-util                |
|            |                         |                          |                        | and nspr users are advised to upgrade                      |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these issues.                |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2015:1981            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2015:1981 | nss-tools                | 3.19.1-5.el7_1         | Network Security Services (NSS) is a set of                |
|            |                         |                          |                        | libraries designed to support  cross-platform              |
|            |                         |                          |                        | development of security-enabled client                     |
|            |                         |                          |                        | and server applications. Netscape Portable                 |
|            |                         |                          |                        | Runtime (NSPR) provides platform independence              |
|            |                         |                          |                        | for non-GUI operating system facilities.  A                |
|            |                         |                          |                        | use-after-poison flaw and a heap-based buffer              |
|            |                         |                          |                        | overflow flaw were found in the way NSS parsed             |
|            |                         |                          |                        | certain ASN.1 structures. An attacker could                |
|            |                         |                          |                        | use these flaws to cause NSS to crash or                   |
|            |                         |                          |                        | execute arbitrary code with the permissions                |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2015-7181,                   |
|            |                         |                          |                        | CVE-2015-7182) A heap-based buffer overflow                |
|            |                         |                          |                        | was found in NSPR. An attacker could use                   |
|            |                         |                          |                        | this flaw to cause NSPR to crash or execute                |
|            |                         |                          |                        | arbitrary code with the permissions of the                 |
|            |                         |                          |                        | user running an application compiled against               |
|            |                         |                          |                        | the NSPR library. (CVE-2015-7183) Note:                    |
|            |                         |                          |                        | Applications using NSPR's PL_ARENA_ALLOCATE,               |
|            |                         |                          |                        | PR_ARENA_ALLOCATE, PL_ARENA_GROW, or                       |
|            |                         |                          |                        | PR_ARENA_GROW macros need to be rebuild                    |
|            |                         |                          |                        | against the fixed nspr packages to completely              |
|            |                         |                          |                        | resolve the CVE-2015-7183 issue. This erratum              |
|            |                         |                          |                        | includes nss and nss-utils packages rebuilt                |
|            |                         |                          |                        | against the fixed nspr version. Red Hat                    |
|            |                         |                          |                        | would like to thank the Mozilla project for                |
|            |                         |                          |                        | reporting these issues. Upstream acknowledges              |
|            |                         |                          |                        | Tyson Smith, David Keeler and Ryan Sleevi                  |
|            |                         |                          |                        | as the original reporter. All nss, nss-util                |
|            |                         |                          |                        | and nspr users are advised to upgrade                      |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these issues.                |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2015:1981            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-tools                | 3.19.1-5.el7_1         | Network Security Services (NSS) is a                       |
|            |                         |                          |                        | set of libraries designed to support the                   |
|            |                         |                          |                        | cross-platform development of security-enabled             |
|            |                         |                          |                        | client and server applications. The nss-util               |
|            |                         |                          |                        | packages provide utilities for use with the                |
|            |                         |                          |                        | Network Security Services (NSS) libraries.                 |
|            |                         |                          |                        | The following packages have been upgraded                  |
|            |                         |                          |                        | to a newer upstream version: nss (3.28.4),                 |
|            |                         |                          |                        | nss-util (3.28.4). Security Fix(es): * An                  |
|            |                         |                          |                        | out-of-bounds write flaw was found in the                  |
|            |                         |                          |                        | way NSS performed certain Base64-decoding                  |
|            |                         |                          |                        | operations. An attacker could use this flaw to             |
|            |                         |                          |                        | create a specially crafted certificate which,              |
|            |                         |                          |                        | when parsed by NSS, could cause it to crash or             |
|            |                         |                          |                        | execute arbitrary code, using the permissions              |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2017-5461) Red               |
|            |                         |                          |                        | Hat would like to thank the Mozilla project                |
|            |                         |                          |                        | for reporting this issue. Upstream acknowledges            |
|            |                         |                          |                        | Ronald Crane as the original reporter.                     |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1100            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
