+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                            |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other                   |
|            |                       |                             |                        | related information, refer to the CVE                      |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1619            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0679   | libssh2                     | 1.4.3-10.el7_2.1       | The libssh2 packages provide a library                     |
|            |                       |                             |                        | that implements the SSH2 protocol. Security                |
|            |                       |                             |                        | Fix(es): * libssh2: Integer overflow in                    |
|            |                       |                             |                        | transport read resulting in out of bounds write            |
|            |                       |                             |                        | (CVE-2019-3855) * libssh2: Integer overflow                |
|            |                       |                             |                        | in keyboard interactive handling resulting in              |
|            |                       |                             |                        | out of bounds write (CVE-2019-3856) * libssh2:             |
|            |                       |                             |                        | Integer overflow in SSH packet processing                  |
|            |                       |                             |                        | channel resulting in out of bounds write                   |
|            |                       |                             |                        | (CVE-2019-3857) * libssh2: Integer overflow in             |
|            |                       |                             |                        | user authenticate keyboard interactive allows              |
|            |                       |                             |                        | out-of-bounds writes (CVE-2019-3863) For more              |
|            |                       |                             |                        | details about the security issue(s), including             |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,                 |
|            |                       |                             |                        | and other related information, refer to the                |
|            |                       |                             |                        | CVE page(s) listed in the References section.              |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0679            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:3408   | git                         | 1.8.3.1-12.el7_4       | Git is a distributed revision control system               |
|            |                       |                             |                        | with a decentralized architecture. As opposed              |
|            |                       |                             |                        | to centralized version control systems with                |
|            |                       |                             |                        | a client-server model, Git ensures that                    |
|            |                       |                             |                        | each working copy of a Git repository is an                |
|            |                       |                             |                        | exact copy with complete revision history.                 |
|            |                       |                             |                        | This not only allows the user to work on and               |
|            |                       |                             |                        | contribute to projects without the need to                 |
|            |                       |                             |                        | have permission to push the changes to their               |
|            |                       |                             |                        | official repositories, but also makes it                   |
|            |                       |                             |                        | possible for the user to work with no network              |
|            |                       |                             |                        | connection. Security Fix(es): * git: arbitrary             |
|            |                       |                             |                        | code execution via .gitmodules (CVE-2018-17456)            |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3408            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1957   | git                         | 1.8.3.1-12.el7_4       | Git is a distributed revision control system               |
|            |                       |                             |                        | with a decentralized architecture. As opposed              |
|            |                       |                             |                        | to centralized version control systems with                |
|            |                       |                             |                        | a client-server model, Git ensures that                    |
|            |                       |                             |                        | each working copy of a Git repository is an                |
|            |                       |                             |                        | exact copy with complete revision history.                 |
|            |                       |                             |                        | This not only allows the user to work on and               |
|            |                       |                             |                        | contribute to projects without the need to                 |
|            |                       |                             |                        | have permission to push the changes to their               |
|            |                       |                             |                        | official repositories, but also makes it                   |
|            |                       |                             |                        | possible for the user to work with no network              |
|            |                       |                             |                        | connection. Security Fix(es): * git: arbitrary             |
|            |                       |                             |                        | code execution when recursively cloning a                  |
|            |                       |                             |                        | malicious repository (CVE-2018-11235) For                  |
|            |                       |                             |                        | more details about the security issue(s),                  |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1957            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109   | perl-macros                 | 4:5.16.3-292.el7       | Perl is a high-level programming language that             |
|            |                       |                             |                        | is commonly used for system administration                 |
|            |                       |                             |                        | utilities and web programming. Security                    |
|            |                       |                             |                        | Fix(es): * perl: Integer overflow leading                  |
|            |                       |                             |                        | to buffer overflow in Perl_my_setenv()                     |
|            |                       |                             |                        | (CVE-2018-18311) For more details about                    |
|            |                       |                             |                        | the security issue(s), including the                       |
|            |                       |                             |                        | impact, a CVSS score, and other related                    |
|            |                       |                             |                        | information, refer to the CVE page(s)                      |
|            |                       |                             |                        | listed in the References section. Red Hat                  |
|            |                       |                             |                        | would like to thank the Perl project for                   |
|            |                       |                             |                        | reporting this issue. Upstream acknowledges                |
|            |                       |                             |                        | Jayakrishna Menon as the original reporter.                |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0109            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2181   | gnupg2                      | 2.0.22-4.el7           | The GNU Privacy Guard (GnuPG or GPG) is a                  |
|            |                       |                             |                        | tool for encrypting data and creating digital              |
|            |                       |                             |                        | signatures, compliant with OpenPGP and S/MIME              |
|            |                       |                             |                        | standards. Security Fix(es): * gnupg2: Improper            |
|            |                       |                             |                        | sanitization of filenames allows for the                   |
|            |                       |                             |                        | display of fake status messages and the bypass             |
|            |                       |                             |                        | of signature verification (CVE-2018-12020)                 |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2181            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1374   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel-alt packages provide the Linux                  |
|            |                       |                             |                        | kernel version 4.x. Security Fix(es): * kernel:            |
|            |                       |                             |                        | ptrace() incorrect error handling leads to                 |
|            |                       |                             |                        | corruption and DoS (CVE-2018-1000199) For                  |
|            |                       |                             |                        | more details about the security issue(s),                  |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | Red Hat would like to thank Andy Lutomirski                |
|            |                       |                             |                        | for reporting this issue. Bug Fix(es): *                   |
|            |                       |                             |                        | Previously, the nfs_commit_inode() function                |
|            |                       |                             |                        | did not respect the FLUSH_SYNC argument and                |
|            |                       |                             |                        | exited even if there were already the in-flight            |
|            |                       |                             |                        | COMMIT requests. As a consequence, the mmap()              |
|            |                       |                             |                        | system call occasionally returned the EBUSY                |
|            |                       |                             |                        | error on NFS, and CPU soft lockups occurred                |
|            |                       |                             |                        | during a writeback on NFS. This update fixes               |
|            |                       |                             |                        | nfs_commit_inode() to respect FLUSH_SYNC. As               |
|            |                       |                             |                        | a result, mmap() does not return EBUSY, and                |
|            |                       |                             |                        | the CPU soft lockups no longer occur during                |
|            |                       |                             |                        | NFS writebacks. (BZ#1559869) * Recent IBM                  |
|            |                       |                             |                        | z Systems hardware contains an extension to                |
|            |                       |                             |                        | the time-of-day clock that ensures it will be              |
|            |                       |                             |                        | operational after the year 2042 by avoiding                |
|            |                       |                             |                        | an overflow that would happen without it.                  |
|            |                       |                             |                        | However, the KVM hypervisor was previously                 |
|            |                       |                             |                        | unable to handle the extension correctly,                  |
|            |                       |                             |                        | which lead to guests freezing if their kernel              |
|            |                       |                             |                        | supported the time-of-day clock extension.                 |
|            |                       |                             |                        | This update adds support for the extension                 |
|            |                       |                             |                        | to the KVM hypervisor, and KVM guests which                |
|            |                       |                             |                        | support it no longer freeze. (BZ#1559871) *                |
|            |                       |                             |                        | This update provides the ability to disable                |
|            |                       |                             |                        | the "RFI Flush" mitigation mechanism for the               |
|            |                       |                             |                        | Meltdown vulnerability (CVE-2017-5754) in                  |
|            |                       |                             |                        | the kernel. The patches that mitigate the                  |
|            |                       |                             |                        | effect of Meltdown may have negative impact on             |
|            |                       |                             |                        | performance when the mechanism they provide is             |
|            |                       |                             |                        | enabled, and at the same time your systems may             |
|            |                       |                             |                        | not need this mitigation if they are secured               |
|            |                       |                             |                        | by other means. The vulnerability mitigation               |
|            |                       |                             |                        | remains enabled by default and must be disabled            |
|            |                       |                             |                        | manually; this restores system performance                 |
|            |                       |                             |                        | to original levels, but the system then also               |
|            |                       |                             |                        | remains vulnerable to Meltdown. Instructions               |
|            |                       |                             |                        | describing how to disable RFI Flush, as well               |
|            |                       |                             |                        | as additional information, is provided in                  |
|            |                       |                             |                        | the following Red Hat Knowledgebase article:               |
|            |                       |                             |                        | https://access.redhat.com/articles/3311301                 |
|            |                       |                             |                        | (BZ#1561463)                                               |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1374            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1168   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                       |                             |                        | the core of any Linux operating system.                    |
|            |                       |                             |                        | Security Fix(es): * A flaw was found in                    |
|            |                       |                             |                        | the implementation of the "fill buffer", a                 |
|            |                       |                             |                        | mechanism used by modern CPUs when a cache-miss            |
|            |                       |                             |                        | is made on L1 CPU cache.  If an attacker can               |
|            |                       |                             |                        | generate a load operation that would create                |
|            |                       |                             |                        | a page fault, the execution will continue                  |
|            |                       |                             |                        | speculatively with incorrect data from the                 |
|            |                       |                             |                        | fill buffer while the data is fetched from                 |
|            |                       |                             |                        | higher level caches.  This response time can               |
|            |                       |                             |                        | be measured to infer data in the fill buffer.              |
|            |                       |                             |                        | (CVE-2018-12130) * Modern Intel microprocessors            |
|            |                       |                             |                        | implement hardware-level micro-optimizations               |
|            |                       |                             |                        | to improve the performance of writing data back            |
|            |                       |                             |                        | to CPU caches. The write operation is split                |
|            |                       |                             |                        | into STA (STore Address) and STD (STore Data)              |
|            |                       |                             |                        | sub-operations. These sub-operations allow                 |
|            |                       |                             |                        | the processor to hand-off address generation               |
|            |                       |                             |                        | logic into these sub-operations for optimized              |
|            |                       |                             |                        | writes. Both of these sub-operations write                 |
|            |                       |                             |                        | to a shared distributed processor structure                |
|            |                       |                             |                        | called the 'processor store buffer'.  As                   |
|            |                       |                             |                        | a result, an unprivileged attacker could                   |
|            |                       |                             |                        | use this flaw to read private data resident                |
|            |                       |                             |                        | within the CPU's processor store buffer.                   |
|            |                       |                             |                        | (CVE-2018-12126) * Microprocessors use a                   |
|            |                       |                             |                        | ‘load port’ subcomponent to perform load                   |
|            |                       |                             |                        | operations from memory or IO. During a load                |
|            |                       |                             |                        | operation, the load port receives data from                |
|            |                       |                             |                        | the memory or IO subsystem and then provides               |
|            |                       |                             |                        | the data to the CPU registers and operations               |
|            |                       |                             |                        | in the CPU’s pipelines. Stale load operations              |
|            |                       |                             |                        | results are stored in the 'load port' table                |
|            |                       |                             |                        | until overwritten by newer operations. Certain             |
|            |                       |                             |                        | load-port operations triggered by an attacker              |
|            |                       |                             |                        | can be used to reveal data about previous stale            |
|            |                       |                             |                        | requests leaking data back to the attacker                 |
|            |                       |                             |                        | via a timing side-channel. (CVE-2018-12127)                |
