Vulnerability,Package,Version
,libswscale3,6:11.12-1~deb8u1-
CVE-2014-9317,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2014-9748,nodejs,10.5.0-1nodesource1-
CVE-2014-9761,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2014-9939,binutils,2.25-5+deb8u1-
CVE-2015-1207,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-1258,libvpx1,1.3.0-3+deb8u1-
CVE-2015-1872,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-3217,libpcre3,2:8.35-3.3+deb8u4-
CVE-2015-3276,libldap-2.4-2,2.4.40+dfsg-1+deb8u4-
CVE-2015-4506,libvpx1,1.3.0-3+deb8u1-
CVE-2015-5180,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2015-5186,libaudit-common,1:2.4-1-
,libaudit1,1:2.4-1+b1-
CVE-2015-5218,util-linux,2.25.2-6-
CVE-2015-5224,util-linux,2.25.2-6-
CVE-2015-5276,gcc-4.9,4.9.2-10+deb8u1-
CVE-2015-6761,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6818,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6820,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6821,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6822,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6823,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6824,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6825,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-6826,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-7313,libtiff5,4.0.3-12.3+deb8u5-
CVE-2015-8216,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8217,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8363,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8364,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8661,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8662,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8663,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2015-8985,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2015-9290,libfreetype6,2.5.2-3+deb8u2-
CVE-2015-9381,libfreetype6,2.5.2-3+deb8u2-
CVE-2015-9382,libfreetype6,2.5.2-3+deb8u2-
CVE-2015-9383,libfreetype6,2.5.2-3+deb8u2-
CVE-2016-1669,nodejs,10.5.0-1nodesource1-
CVE-2016-2086,nodejs,10.5.0-1nodesource1-
CVE-2016-2090,libbsd0,0.7.0-2-
CVE-2016-2216,nodejs,10.5.0-1nodesource1-
CVE-2016-2226,binutils,2.25-5+deb8u1-
CVE-2016-2774,isc-dhcp-client,4.3.1-6+deb8u3-
,isc-dhcp-common,4.3.1-6+deb8u3-
CVE-2016-2779,util-linux,2.25.2-6-
CVE-2016-2781,coreutils,8.23-4-
CVE-2016-3189,bzip2,1.0.6-7+b3-
CVE-2016-3616,libjpeg62-turbo,1:1.3.1-12-
CVE-2016-3739,curl,7.38.0-4+deb8u11-
CVE-2016-3881,libvpx1,1.3.0-3+deb8u1-
CVE-2016-4448,libxml2,2.9.1+dfsg1-5+deb8u6-
CVE-2016-4484,libcryptsetup4,2:1.6.6-5-
CVE-2016-4487,binutils,2.25-5+deb8u1-
CVE-2016-4488,binutils,2.25-5+deb8u1-
CVE-2016-4489,binutils,2.25-5+deb8u1-
CVE-2016-4490,binutils,2.25-5+deb8u1-
CVE-2016-4491,binutils,2.25-5+deb8u1-
CVE-2016-4492,binutils,2.25-5+deb8u1-
CVE-2016-4493,binutils,2.25-5+deb8u1-
CVE-2016-5011,util-linux,2.25.2-6-
CVE-2016-5115,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-5325,nodejs,10.5.0-1nodesource1-
CVE-2016-6131,binutils,2.25-5+deb8u1-
CVE-2016-6170,libdns-export100,1:9.9.5.dfsg-9+deb8u15-
,libirs-export91,1:9.9.5.dfsg-9+deb8u15-
,libisc-export95,1:9.9.5.dfsg-9+deb8u15-
,libisccfg-export90,1:9.9.5.dfsg-9+deb8u15-
CVE-2016-6711,libvpx1,1.3.0-3+deb8u1-
CVE-2016-6712,libvpx1,1.3.0-3+deb8u1-
CVE-2016-7098,wget,1.16-1+deb8u5-
CVE-2016-7099,nodejs,10.5.0-1nodesource1-
CVE-2016-7141,curl,7.38.0-4+deb8u11-
CVE-2016-7167,curl,7.38.0-4+deb8u11-
CVE-2016-7477,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-7499,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-7949,libxrender1,1:0.9.8-1+b1-
CVE-2016-7950,libxrender1,1:0.9.8-1+b1-
CVE-2016-8625,curl,7.38.0-4+deb8u11-
CVE-2016-8676,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-9318,libxml2,2.9.1+dfsg1-5+deb8u6-
CVE-2016-9401,bash,4.3-11+deb8u1-
CVE-2016-9427,libgc1c2,1:7.2d-6.4-
CVE-2016-9539,libtiff5,4.0.3-12.3+deb8u5-
CVE-2016-9586,curl,7.38.0-4+deb8u11-
CVE-2016-9823,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-9824,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-9825,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-9826,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-9840,zlib1g,1:1.2.8.dfsg-2+b1-
CVE-2016-9841,zlib1g,1:1.2.8.dfsg-2+b1-
CVE-2016-9842,zlib1g,1:1.2.8.dfsg-2+b1-
CVE-2016-9843,zlib1g,1:1.2.8.dfsg-2+b1-
CVE-2016-10040,libqt4-dbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-designer,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-network,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-qt3support,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-script,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql-mysql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-svg,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-xml,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtcore4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtdbus4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtgui4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qdbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qtcore4-l10n,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
CVE-2016-10190,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-10191,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2016-10228,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2016-10268,libtiff5,4.0.3-12.3+deb8u5-
CVE-2016-10739,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2016-1000110,python2.7,2.7.9-2+deb8u1-
CVE-2017-0381,libopus0,1.1-2-
CVE-2017-0393,libvpx1,1.3.0-3+deb8u1-
CVE-2017-0641,libvpx1,1.3.0-3+deb8u1-
CVE-2017-2518,libsqlite3-0,3.8.7.1-1+deb8u2-
CVE-2017-2519,libsqlite3-0,3.8.7.1-1+deb8u2-
CVE-2017-2520,libsqlite3-0,3.8.7.1-1+deb8u2-
CVE-2017-2616,util-linux,2.25.2-6-
CVE-2017-2625,libxdmcp-dev,1:1.1.1-1+b1-
,libxdmcp6,1:1.1.1-1+b1-
CVE-2017-2626,libice6,2:1.0.9-1+b1-
CVE-2017-5130,libxml2,2.9.1+dfsg1-5+deb8u6-
CVE-2017-5563,libtiff5,4.0.3-12.3+deb8u5-
CVE-2017-5969,libxml2,2.9.1+dfsg1-5+deb8u6-
CVE-2017-6519,libavahi-client3,0.6.31-5-
,libavahi-common-data,0.6.31-5-
,libavahi-common3,0.6.31-5-
CVE-2017-6965,binutils,2.25-5+deb8u1-
CVE-2017-6966,binutils,2.25-5+deb8u1-
CVE-2017-6969,binutils,2.25-5+deb8u1-
CVE-2017-7186,libpcre3,2:8.35-3.3+deb8u4-
CVE-2017-7210,binutils,2.25-5+deb8u1-
CVE-2017-7223,binutils,2.25-5+deb8u1-
CVE-2017-7224,binutils,2.25-5+deb8u1-
CVE-2017-7225,binutils,2.25-5+deb8u1-
CVE-2017-7226,binutils,2.25-5+deb8u1-
CVE-2017-7227,binutils,2.25-5+deb8u1-
CVE-2017-7244,libpcre3,2:8.35-3.3+deb8u4-
CVE-2017-7245,libpcre3,2:8.35-3.3+deb8u4-
CVE-2017-7246,libpcre3,2:8.35-3.3+deb8u4-
CVE-2017-7299,binutils,2.25-5+deb8u1-
CVE-2017-7300,binutils,2.25-5+deb8u1-
CVE-2017-7301,binutils,2.25-5+deb8u1-
CVE-2017-7302,binutils,2.25-5+deb8u1-
CVE-2017-7303,binutils,2.25-5+deb8u1-
CVE-2017-7304,binutils,2.25-5+deb8u1-
CVE-2017-7407,curl,7.38.0-4+deb8u11-
CVE-2017-7614,binutils,2.25-5+deb8u1-
CVE-2017-7863,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-7865,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-8283,dpkg,1.17.27-
CVE-2017-8393,binutils,2.25-5+deb8u1-
CVE-2017-8394,binutils,2.25-5+deb8u1-
CVE-2017-8395,binutils,2.25-5+deb8u1-
CVE-2017-8396,binutils,2.25-5+deb8u1-
CVE-2017-8397,binutils,2.25-5+deb8u1-
CVE-2017-8398,binutils,2.25-5+deb8u1-
CVE-2017-8421,binutils,2.25-5+deb8u1-
CVE-2017-8872,libxml2,2.9.1+dfsg1-5+deb8u6-
CVE-2017-9038,binutils,2.25-5+deb8u1-
CVE-2017-9039,binutils,2.25-5+deb8u1-
CVE-2017-9040,binutils,2.25-5+deb8u1-
CVE-2017-9041,binutils,2.25-5+deb8u1-
CVE-2017-9042,binutils,2.25-5+deb8u1-
CVE-2017-9043,binutils,2.25-5+deb8u1-
CVE-2017-9044,binutils,2.25-5+deb8u1-
CVE-2017-9117,libtiff5,4.0.3-12.3+deb8u5-
CVE-2017-9525,cron,3.0pl1-127+deb8u1-
CVE-2017-9742,binutils,2.25-5+deb8u1-
CVE-2017-9743,binutils,2.25-5+deb8u1-
CVE-2017-9744,binutils,2.25-5+deb8u1-
CVE-2017-9745,binutils,2.25-5+deb8u1-
CVE-2017-9746,binutils,2.25-5+deb8u1-
CVE-2017-9747,binutils,2.25-5+deb8u1-
CVE-2017-9748,binutils,2.25-5+deb8u1-
CVE-2017-9749,binutils,2.25-5+deb8u1-
CVE-2017-9750,binutils,2.25-5+deb8u1-
CVE-2017-9751,binutils,2.25-5+deb8u1-
CVE-2017-9752,binutils,2.25-5+deb8u1-
CVE-2017-9753,binutils,2.25-5+deb8u1-
CVE-2017-9754,binutils,2.25-5+deb8u1-
CVE-2017-9755,binutils,2.25-5+deb8u1-
CVE-2017-9756,binutils,2.25-5+deb8u1-
CVE-2017-9937,libjbig0,2.1-3.1-
CVE-2017-9954,binutils,2.25-5+deb8u1-
CVE-2017-9955,binutils,2.25-5+deb8u1-
CVE-2017-9987,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-9993,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-9994,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-10790,libtasn1-6,4.2-3+deb8u3-
CVE-2017-10989,libsqlite3-0,3.8.7.1-1+deb8u2-
CVE-2017-11164,libpcre3,2:8.35-3.3+deb8u4-
CVE-2017-11333,libvorbis0a,1.3.4-2+deb8u1-
,libvorbisenc2,1.3.4-2+deb8u1-
CVE-2017-11462,libgssapi-krb5-2,1.12.1+dfsg-19+deb8u4-
,libk5crypto3,1.12.1+dfsg-19+deb8u4-
,libkrb5-3,1.12.1+dfsg-19+deb8u4-
,libkrb5support0,1.12.1+dfsg-19+deb8u4-
CVE-2017-11499,nodejs,10.5.0-1nodesource1-
CVE-2017-11613,libtiff5,4.0.3-12.3+deb8u5-
CVE-2017-11671,gcc-4.8-base,4.8.4-1-
,gcc-4.9,4.9.2-10+deb8u1-
CVE-2017-12132,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2017-12133,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2017-12424,login,1:4.2-3+deb8u4-
,passwd,1:4.2-3+deb8u4-
CVE-2017-12448,binutils,2.25-5+deb8u1-
CVE-2017-12449,binutils,2.25-5+deb8u1-
CVE-2017-12450,binutils,2.25-5+deb8u1-
CVE-2017-12451,binutils,2.25-5+deb8u1-
CVE-2017-12452,binutils,2.25-5+deb8u1-
CVE-2017-12453,binutils,2.25-5+deb8u1-
CVE-2017-12454,binutils,2.25-5+deb8u1-
CVE-2017-12455,binutils,2.25-5+deb8u1-
CVE-2017-12456,binutils,2.25-5+deb8u1-
CVE-2017-12457,binutils,2.25-5+deb8u1-
CVE-2017-12458,binutils,2.25-5+deb8u1-
CVE-2017-12459,binutils,2.25-5+deb8u1-
CVE-2017-12799,binutils,2.25-5+deb8u1-
CVE-2017-12967,binutils,2.25-5+deb8u1-
CVE-2017-13685,libsqlite3-0,3.8.7.1-1+deb8u2-
CVE-2017-13710,binutils,2.25-5+deb8u1-
CVE-2017-13712,libmp3lame0,3.99.5+repack1-7+deb8u2-
CVE-2017-13716,binutils,2.25-5+deb8u1-
CVE-2017-13757,binutils,2.25-5+deb8u1-
CVE-2017-14055,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-14056,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-14057,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-14058,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
CVE-2017-14128,binutils,2.25-5+deb8u1-
CVE-2017-14129,binutils,2.25-5+deb8u1-
CVE-2017-14130,binutils,2.25-5+deb8u1-
CVE-2017-14159,libldap-2.4-2,2.4.40+dfsg-1+deb8u4-
CVE-2017-14160,libvorbis0a,1.3.4-2+deb8u1-
,libvorbisenc2,1.3.4-2+deb8u1-
CVE-2017-14169,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
,libswscale3,6:11.12-1~deb8u1-
