+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                 |
|            |                       |                             |                        | aggressive parallelism capabilities, uses       |
|            |                       |                             |                        | socket and D-Bus activation for starting        |
|            |                       |                             |                        | services, offers on-demand starting of daemons, |
|            |                       |                             |                        | and keeps track of processes using Linux        |
|            |                       |                             |                        | cgroups. In addition, it supports snapshotting  |
|            |                       |                             |                        | and restoring of the system state, maintains    |
|            |                       |                             |                        | mount and automount points, and implements      |
|            |                       |                             |                        | an elaborate transactional dependency-based     |
|            |                       |                             |                        | service control logic. It can also work as      |
|            |                       |                             |                        | a drop-in replacement for sysvinit. Security    |
|            |                       |                             |                        | Fix(es): * systemd: Insufficient input          |
|            |                       |                             |                        | validation in bus_process_object() resulting    |
|            |                       |                             |                        | in PID 1 crash (CVE-2019-6454) For more details |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0368 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1294   | bind-license                | 32:9.9.4-51.el7_4.2    | The Berkeley Internet Name Domain (BIND) is     |
|            |                       |                             |                        | an implementation of the Domain Name System     |
|            |                       |                             |                        | (DNS) protocols. BIND includes a DNS server     |
|            |                       |                             |                        | (named); a resolver library (routines for       |
|            |                       |                             |                        | applications to use when interfacing with DNS); |
|            |                       |                             |                        | and tools for verifying that the DNS server     |
|            |                       |                             |                        | is operating correctly. Security Fix(es): *     |
|            |                       |                             |                        | bind: Limiting simultaneous TCP clients is      |
|            |                       |                             |                        | ineffective (CVE-2018-5743) For more details    |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1294 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0049   | systemd-libs                | 219-42.el7_4.7         | The systemd packages contain systemd, a system  |
|            |                       |                             |                        | and service manager for Linux, compatible with  |
|            |                       |                             |                        | the SysV and LSB init scripts. It provides      |
|            |                       |                             |                        | aggressive parallelism capabilities, uses       |
|            |                       |                             |                        | socket and D-Bus activation for starting        |
|            |                       |                             |                        | services, offers on-demand starting of daemons, |
|            |                       |                             |                        | and keeps track of processes using Linux        |
|            |                       |                             |                        | cgroups. In addition, it supports snapshotting  |
|            |                       |                             |                        | and restoring of the system state, maintains    |
|            |                       |                             |                        | mount and automount points, and implements      |
|            |                       |                             |                        | an elaborate transactional dependency-based     |
|            |                       |                             |                        | service control logic. It can also work as      |
|            |                       |                             |                        | a drop-in replacement for sysvinit. Security    |
|            |                       |                             |                        | Fix(es): * systemd: Out-of-bounds heap write    |
|            |                       |                             |                        | in systemd-networkd dhcpv6 option handling      |
|            |                       |                             |                        | (CVE-2018-15688) * systemd: stack overflow      |
|            |                       |                             |                        | when calling syslog from a command with long    |
|            |                       |                             |                        | cmdline (CVE-2018-16864) * systemd: stack       |
|            |                       |                             |                        | overflow when receiving many journald entries   |
|            |                       |                             |                        | (CVE-2018-16865) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a      |
|            |                       |                             |                        | CVSS score, and other related information,      |
|            |                       |                             |                        | refer to the CVE page(s) listed in the          |
|            |                       |                             |                        | References section. Red Hat would like to       |
|            |                       |                             |                        | thank Ubuntu Security Team for reporting        |
|            |                       |                             |                        | CVE-2018-15688 and Qualys Research Labs for     |
|            |                       |                             |                        | reporting CVE-2018-16864 and CVE-2018-16865.    |
|            |                       |                             |                        | Upstream acknowledges Felix Wilhelm (Google)    |
|            |                       |                             |                        | as the original reporter of CVE-2018-15688.     |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0049 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1619   | vim-minimal                 | 2:7.4.160-2.el7        | Vim (Vi IMproved) is an updated and improved    |
|            |                       |                             |                        | version of the vi editor. Security Fix(es):     |
|            |                       |                             |                        | * vim/neovim: ':source!' command allows         |
|            |                       |                             |                        | arbitrary command execution via modelines       |
|            |                       |                             |                        | (CVE-2019-12735) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact,        |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other        |
|            |                       |                             |                        | related information, refer to the CVE           |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1619 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0049   | systemd                     | 219-42.el7_4.7         | The systemd packages contain systemd, a system  |
|            |                       |                             |                        | and service manager for Linux, compatible with  |
|            |                       |                             |                        | the SysV and LSB init scripts. It provides      |
|            |                       |                             |                        | aggressive parallelism capabilities, uses       |
|            |                       |                             |                        | socket and D-Bus activation for starting        |
|            |                       |                             |                        | services, offers on-demand starting of daemons, |
|            |                       |                             |                        | and keeps track of processes using Linux        |
|            |                       |                             |                        | cgroups. In addition, it supports snapshotting  |
|            |                       |                             |                        | and restoring of the system state, maintains    |
|            |                       |                             |                        | mount and automount points, and implements      |
|            |                       |                             |                        | an elaborate transactional dependency-based     |
|            |                       |                             |                        | service control logic. It can also work as      |
|            |                       |                             |                        | a drop-in replacement for sysvinit. Security    |
|            |                       |                             |                        | Fix(es): * systemd: Out-of-bounds heap write    |
|            |                       |                             |                        | in systemd-networkd dhcpv6 option handling      |
|            |                       |                             |                        | (CVE-2018-15688) * systemd: stack overflow      |
|            |                       |                             |                        | when calling syslog from a command with long    |
|            |                       |                             |                        | cmdline (CVE-2018-16864) * systemd: stack       |
|            |                       |                             |                        | overflow when receiving many journald entries   |
|            |                       |                             |                        | (CVE-2018-16865) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a      |
|            |                       |                             |                        | CVSS score, and other related information,      |
|            |                       |                             |                        | refer to the CVE page(s) listed in the          |
|            |                       |                             |                        | References section. Red Hat would like to       |
|            |                       |                             |                        | thank Ubuntu Security Team for reporting        |
|            |                       |                             |                        | CVE-2018-15688 and Qualys Research Labs for     |
|            |                       |                             |                        | reporting CVE-2018-16864 and CVE-2018-16865.    |
|            |                       |                             |                        | Upstream acknowledges Felix Wilhelm (Google)    |
|            |                       |                             |                        | as the original reporter of CVE-2018-15688.     |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0049 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0710   | python-libs                 | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to           |
|            |                       |                             |                        | many system calls and libraries, as well        |
|            |                       |                             |                        | as to various windowing systems. Security       |
|            |                       |                             |                        | Fix(es): * python: Information Disclosure       |
|            |                       |                             |                        | due to urlsplit improper NFKC normalization     |
|            |                       |                             |                        | (CVE-2019-9636) For more details about the      |
|            |                       |                             |                        | security issue(s), including the impact,        |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other        |
|            |                       |                             |                        | related information, refer to the CVE           |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0710 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1587   | python-libs                 | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to many      |
|            |                       |                             |                        | system calls and libraries, as well as to       |
|            |                       |                             |                        | various windowing systems. Security Fix(es):    |
|            |                       |                             |                        | * python: regression of CVE-2019-9636 due       |
|            |                       |                             |                        | to functional fix to allow port numbers in      |
|            |                       |                             |                        | netloc (CVE-2019-10160) For more details        |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1587 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0679   | libssh2                     | 1.4.3-10.el7_2.1       | The libssh2 packages provide a library          |
|            |                       |                             |                        | that implements the SSH2 protocol. Security     |
|            |                       |                             |                        | Fix(es): * libssh2: Integer overflow in         |
|            |                       |                             |                        | transport read resulting in out of bounds write |
|            |                       |                             |                        | (CVE-2019-3855) * libssh2: Integer overflow     |
|            |                       |                             |                        | in keyboard interactive handling resulting in   |
|            |                       |                             |                        | out of bounds write (CVE-2019-3856) * libssh2:  |
|            |                       |                             |                        | Integer overflow in SSH packet processing       |
|            |                       |                             |                        | channel resulting in out of bounds write        |
|            |                       |                             |                        | (CVE-2019-3857) * libssh2: Integer overflow in  |
|            |                       |                             |                        | user authenticate keyboard interactive allows   |
|            |                       |                             |                        | out-of-bounds writes (CVE-2019-3863) For more   |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to the     |
|            |                       |                             |                        | CVE page(s) listed in the References section.   |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0679 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0710   | python                      | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to           |
|            |                       |                             |                        | many system calls and libraries, as well        |
|            |                       |                             |                        | as to various windowing systems. Security       |
|            |                       |                             |                        | Fix(es): * python: Information Disclosure       |
|            |                       |                             |                        | due to urlsplit improper NFKC normalization     |
|            |                       |                             |                        | (CVE-2019-9636) For more details about the      |
|            |                       |                             |                        | security issue(s), including the impact,        |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other        |
|            |                       |                             |                        | related information, refer to the CVE           |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0710 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2570   | bind-license                | 32:9.9.4-51.el7_4.2    | The Berkeley Internet Name Domain (BIND) is an  |
|            |                       |                             |                        | implementation of the Domain Name System (DNS)  |
|            |                       |                             |                        | protocols. BIND includes a DNS server (named);  |
|            |                       |                             |                        | a resolver library (routines for applications   |
|            |                       |                             |                        | to use when interfacing with DNS); and tools    |
|            |                       |                             |                        | for verifying that the DNS server is operating  |
|            |                       |                             |                        | correctly. Security Fix(es): * bind: processing |
|            |                       |                             |                        | of certain records when "deny-answer-aliases"   |
|            |                       |                             |                        | is in use may trigger an assert leading to      |
|            |                       |                             |                        | a denial of service (CVE-2018-5740) For more    |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, and other related     |
|            |                       |                             |                        | information, refer to the CVE page(s) listed    |
|            |                       |                             |                        | in the References section. Red Hat would        |
|            |                       |                             |                        | like to thank ISC for reporting this issue.     |
|            |                       |                             |                        | Upstream acknowledges Tony Finch (University    |
|            |                       |                             |                        | of Cambridge) as the original reporter.         |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2570 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2285   | yum-plugin-ovl              | 1.1.31-42.el7          | The yum-utils packages provide a collection     |
|            |                       |                             |                        | of utilities and examples for the yum package   |
|            |                       |                             |                        | manager to make yum easier and more powerful    |
|            |                       |                             |                        | to use. Security Fix(es): * yum-utils:          |
|            |                       |                             |                        | reposync: improper path validation may lead     |
|            |                       |                             |                        | to directory traversal (CVE-2018-10897) For     |
|            |                       |                             |                        | more details about the security issue(s),       |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the         |
|            |                       |                             |                        | CVE page(s) listed in the References            |
|            |                       |                             |                        | section. Red Hat would like to thank Jay        |
|            |                       |                             |                        | Grizzard (Clover Network) and Aaron Levy        |
|            |                       |                             |                        | (Clover Network) for reporting this issue.      |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2285 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2285   | yum-plugin-fastestmirror    | 1.1.31-42.el7          | The yum-utils packages provide a collection     |
|            |                       |                             |                        | of utilities and examples for the yum package   |
|            |                       |                             |                        | manager to make yum easier and more powerful    |
|            |                       |                             |                        | to use. Security Fix(es): * yum-utils:          |
|            |                       |                             |                        | reposync: improper path validation may lead     |
|            |                       |                             |                        | to directory traversal (CVE-2018-10897) For     |
|            |                       |                             |                        | more details about the security issue(s),       |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the         |
|            |                       |                             |                        | CVE page(s) listed in the References            |
|            |                       |                             |                        | section. Red Hat would like to thank Jay        |
|            |                       |                             |                        | Grizzard (Clover Network) and Aaron Levy        |
|            |                       |                             |                        | (Clover Network) for reporting this issue.      |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2285 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2285   | yum-utils                   | 1.1.31-42.el7          | The yum-utils packages provide a collection     |
|            |                       |                             |                        | of utilities and examples for the yum package   |
|            |                       |                             |                        | manager to make yum easier and more powerful    |
|            |                       |                             |                        | to use. Security Fix(es): * yum-utils:          |
|            |                       |                             |                        | reposync: improper path validation may lead     |
|            |                       |                             |                        | to directory traversal (CVE-2018-10897) For     |
|            |                       |                             |                        | more details about the security issue(s),       |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the         |
|            |                       |                             |                        | CVE page(s) listed in the References            |
|            |                       |                             |                        | section. Red Hat would like to thank Jay        |
|            |                       |                             |                        | Grizzard (Clover Network) and Aaron Levy        |
|            |                       |                             |                        | (Clover Network) for reporting this issue.      |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2285 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1700   | procps-ng                   | 3.3.10-16.el7          | The procps-ng packages contain a set of system  |
|            |                       |                             |                        | utilities that provide system information,      |
|            |                       |                             |                        | including ps, free, skill, pkill, pgrep, snice, |
|            |                       |                             |                        | tload, top, uptime, vmstat, w, watch, and       |
|            |                       |                             |                        | pwdx. Security Fix(es): * procps-ng, procps:    |
|            |                       |                             |                        | Integer overflows leading to heap overflow      |
|            |                       |                             |                        | in file2strvec (CVE-2018-1124) * procps-ng,     |
|            |                       |                             |                        | procps: incorrect integer size in proc/alloc.*  |
|            |                       |                             |                        | leading to truncation / integer overflow issues |
|            |                       |                             |                        | (CVE-2018-1126) For more details about the      |
|            |                       |                             |                        | security issue(s), including the impact, a CVSS |
|            |                       |                             |                        | score, and other related information, refer     |
|            |                       |                             |                        | to the CVE page(s) listed in the References     |
|            |                       |                             |                        | section. Red Hat would like to thank Qualys     |
|            |                       |                             |                        | Research Labs for reporting these issues.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1700 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2181   | gnupg2                      | 2.0.22-4.el7           | The GNU Privacy Guard (GnuPG or GPG) is a       |
|            |                       |                             |                        | tool for encrypting data and creating digital   |
|            |                       |                             |                        | signatures, compliant with OpenPGP and S/MIME   |
|            |                       |                             |                        | standards. Security Fix(es): * gnupg2: Improper |
