+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION       | CVE DESCRIPTION                                 |
|            |                         |                          |                       | typing. Python supports interfaces to           |
|            |                         |                          |                       | many system calls and libraries, as well        |
|            |                         |                          |                       | as to various windowing systems. Security       |
|            |                         |                          |                       | Fix(es): * python: Information Disclosure       |
|            |                         |                          |                       | due to urlsplit improper NFKC normalization     |
|            |                         |                          |                       | (CVE-2019-9636) For more details about the      |
|            |                         |                          |                       | security issue(s), including the impact,        |
|            |                         |                          |                       | a CVSS score, acknowledgments, and other        |
|            |                         |                          |                       | related information, refer to the CVE           |
|            |                         |                          |                       | page(s) listed in the References section.       |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2019:1467 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:2485     | perl-Git                 | 1.7.1-4.el6_7.1       | Git is a distributed revision control system    |
|            |                         |                          |                       | with a decentralized architecture. As opposed   |
|            |                         |                          |                       | to centralized version control systems with     |
|            |                         |                          |                       | a client-server model, Git ensures that         |
|            |                         |                          |                       | each working copy of a Git repository is an     |
|            |                         |                          |                       | exact copy with complete revision history.      |
|            |                         |                          |                       | This not only allows the user to work on and    |
|            |                         |                          |                       | contribute to projects without the need to      |
|            |                         |                          |                       | have permission to push the changes to their    |
|            |                         |                          |                       | official repositories, but also makes it        |
|            |                         |                          |                       | possible for the user to work with no network   |
|            |                         |                          |                       | connection. Security Fix(es): * A shell command |
|            |                         |                          |                       | injection flaw related to the handling of "ssh" |
|            |                         |                          |                       | URLs has been discovered in Git. An attacker    |
|            |                         |                          |                       | could use this flaw to execute shell commands   |
|            |                         |                          |                       | with the privileges of the user running the     |
|            |                         |                          |                       | Git client, for example, when performing        |
|            |                         |                          |                       | a "clone" action on a malicious repository      |
|            |                         |                          |                       | or a legitimate repository containing           |
|            |                         |                          |                       | a malicious commit. (CVE-2017-1000117)          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:2485 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1726     | dbus                     | 1:1.2.24-8.el6_6      | D-Bus is a system for sending messages          |
|            |                         |                          |                       | between applications. It is used both           |
|            |                         |                          |                       | for the system-wide message bus service,        |
|            |                         |                          |                       | and as a per-user-login-session messaging       |
|            |                         |                          |                       | facility. Security Fix(es): * dbus:             |
|            |                         |                          |                       | DBusServer DBUS_COOKIE_SHA1 authentication      |
|            |                         |                          |                       | bypass (CVE-2019-12749) For more details        |
|            |                         |                          |                       | about the security issue(s), including the      |
|            |                         |                          |                       | impact, a CVSS score, acknowledgments, and      |
|            |                         |                          |                       | other related information, refer to the CVE     |
|            |                         |                          |                       | page(s) listed in the References section.       |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2019:1726 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1105     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is     |
|            |                         |                          |                       | an implementation of the Domain Name System     |
|            |                         |                          |                       | (DNS) protocols. BIND includes a DNS server     |
|            |                         |                          |                       | (named); a resolver library (routines for       |
|            |                         |                          |                       | applications to use when interfacing with DNS); |
|            |                         |                          |                       | and tools for verifying that the DNS server     |
|            |                         |                          |                       | is operating correctly. Security Fix(es):       |
|            |                         |                          |                       | * A denial of service flaw was found in the     |
|            |                         |                          |                       | way BIND handled a query response containing    |
|            |                         |                          |                       | CNAME or DNAME resource records in an unusual   |
|            |                         |                          |                       | order. A remote attacker could use this         |
|            |                         |                          |                       | flaw to make named exit unexpectedly with an    |
|            |                         |                          |                       | assertion failure via a specially crafted DNS   |
|            |                         |                          |                       | response. (CVE-2017-3137) * A denial of service |
|            |                         |                          |                       | flaw was found in the way BIND handled query    |
|            |                         |                          |                       | requests when using DNS64 with "break-dnssec    |
|            |                         |                          |                       | yes" option. A remote attacker could use this   |
|            |                         |                          |                       | flaw to make named exit unexpectedly with       |
|            |                         |                          |                       | an assertion failure via a specially crafted    |
|            |                         |                          |                       | DNS request. (CVE-2017-3136) Red Hat would      |
|            |                         |                          |                       | like to thank ISC for reporting these issues.   |
|            |                         |                          |                       | Upstream acknowledges Oleg Gorokhov (Yandex)    |
|            |                         |                          |                       | as the original reporter of CVE-2017-3136.      |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1105 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1679     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                       | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                       | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                       | a resolver library (routines for applications   |
|            |                         |                          |                       | to use when interfacing with DNS); and tools    |
|            |                         |                          |                       | for verifying that the DNS server is operating  |
|            |                         |                          |                       | correctly. Security Fix(es): * A flaw was found |
|            |                         |                          |                       | in the way BIND handled TSIG authentication     |
|            |                         |                          |                       | for dynamic updates. A remote attacker able     |
|            |                         |                          |                       | to communicate with an authoritative BIND       |
|            |                         |                          |                       | server could use this flaw to manipulate the    |
|            |                         |                          |                       | contents of a zone, by forging a valid TSIG     |
|            |                         |                          |                       | or SIG(0) signature for a dynamic update        |
|            |                         |                          |                       | request. (CVE-2017-3143) * A flaw was found     |
|            |                         |                          |                       | in the way BIND handled TSIG authentication     |
|            |                         |                          |                       | of AXFR requests. A remote attacker, able to    |
|            |                         |                          |                       | communicate with an authoritative BIND server,  |
|            |                         |                          |                       | could use this flaw to view the entire contents |
|            |                         |                          |                       | of a zone by sending a specially constructed    |
|            |                         |                          |                       | request packet. (CVE-2017-3142) Red Hat would   |
|            |                         |                          |                       | like to thank Internet Systems Consortium for   |
|            |                         |                          |                       | reporting these issues. Upstream acknowledges   |
|            |                         |                          |                       | Clement Berthaux (Synacktiv) as the original    |
|            |                         |                          |                       | reporter of these issues. Bug Fix(es): * ICANN  |
|            |                         |                          |                       | is planning to perform a Root Zone DNSSEC Key   |
|            |                         |                          |                       | Signing Key (KSK) rollover during October 2017. |
|            |                         |                          |                       | Maintaining an up-to-date KSK, by adding the    |
|            |                         |                          |                       | new root zone KSK, is essential for ensuring    |
|            |                         |                          |                       | that validating DNS resolvers continue to       |
|            |                         |                          |                       | function following the rollover. (BZ#1458234)   |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1679 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2284     | yum-plugin-fastestmirror | 1.1.30-37.el6         | The yum-utils packages provide a collection     |
|            |                         |                          |                       | of utilities and examples for the yum package   |
|            |                         |                          |                       | manager to make yum easier and more powerful    |
|            |                         |                          |                       | to use. Security Fix(es): * yum-utils:          |
|            |                         |                          |                       | reposync: improper path validation may lead     |
|            |                         |                          |                       | to directory traversal (CVE-2018-10897) For     |
|            |                         |                          |                       | more details about the security issue(s),       |
|            |                         |                          |                       | including the impact, a CVSS score, and         |
|            |                         |                          |                       | other related information, refer to the         |
|            |                         |                          |                       | CVE page(s) listed in the References            |
|            |                         |                          |                       | section. Red Hat would like to thank Jay        |
|            |                         |                          |                       | Grizzard (Clover Network) and Aaron Levy        |
|            |                         |                          |                       | (Clover Network) for reporting this issue.      |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2018:2284 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1652     | libssh2                  | 1.4.2-2.el6_7.1       | The libssh2 packages provide a library          |
|            |                         |                          |                       | that implements the SSH2 protocol. Security     |
|            |                         |                          |                       | Fix(es): * libssh2: Integer overflow in         |
|            |                         |                          |                       | transport read resulting in out of bounds write |
|            |                         |                          |                       | (CVE-2019-3855) * libssh2: Integer overflow     |
|            |                         |                          |                       | in keyboard interactive handling resulting in   |
|            |                         |                          |                       | out of bounds write (CVE-2019-3856) * libssh2:  |
|            |                         |                          |                       | Integer overflow in SSH packet processing       |
|            |                         |                          |                       | channel resulting in out of bounds write        |
|            |                         |                          |                       | (CVE-2019-3857) * libssh2: Integer overflow in  |
|            |                         |                          |                       | user authenticate keyboard interactive allows   |
|            |                         |                          |                       | out-of-bounds writes (CVE-2019-3863) For more   |
|            |                         |                          |                       | details about the security issue(s), including  |
|            |                         |                          |                       | the impact, a CVSS score, acknowledgments,      |
|            |                         |                          |                       | and other related information, refer to the     |
|            |                         |                          |                       | CVE page(s) listed in the References section.   |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2019:1652 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:2093     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                       | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                       | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                       | a resolver library (routines for applications   |
|            |                         |                          |                       | to use when interfacing with DNS); and tools    |
|            |                         |                          |                       | for verifying that the DNS server is operating  |
|            |                         |                          |                       | correctly. Security Fix(es): * A denial of      |
|            |                         |                          |                       | service flaw was found in the way BIND handled  |
|            |                         |                          |                       | packets with malformed options. A remote        |
|            |                         |                          |                       | attacker could use this flaw to make named exit |
|            |                         |                          |                       | unexpectedly with an assertion failure via a    |
|            |                         |                          |                       | specially crafted DNS packet. (CVE-2016-2848)   |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2016:2093 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2571     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                       | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                       | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                       | a resolver library (routines for applications   |
|            |                         |                          |                       | to use when interfacing with DNS); and tools    |
|            |                         |                          |                       | for verifying that the DNS server is operating  |
|            |                         |                          |                       | correctly. Security Fix(es): * bind: processing |
|            |                         |                          |                       | of certain records when "deny-answer-aliases"   |
|            |                         |                          |                       | is in use may trigger an assert leading to      |
|            |                         |                          |                       | a denial of service (CVE-2018-5740) For more    |
|            |                         |                          |                       | details about the security issue(s), including  |
|            |                         |                          |                       | the impact, a CVSS score, and other related     |
|            |                         |                          |                       | information, refer to the CVE page(s) listed    |
|            |                         |                          |                       | in the References section. Red Hat would        |
|            |                         |                          |                       | like to thank ISC for reporting this issue.     |
|            |                         |                          |                       | Upstream acknowledges Tony Finch (University    |
|            |                         |                          |                       | of Cambridge) as the original reporter.         |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2018:2571 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1480     | glibc-common             | 2.12-1.192.el6        | The glibc packages provide the standard C       |
|            |                         |                          |                       | libraries (libc), POSIX thread libraries        |
|            |                         |                          |                       | (libpthread), standard math libraries           |
|            |                         |                          |                       | (libm), and the name service cache daemon       |
|            |                         |                          |                       | (nscd) used by multiple programs on the         |
|            |                         |                          |                       | system. Without these libraries, the Linux      |
|            |                         |                          |                       | system cannot function correctly. Security      |
|            |                         |                          |                       | Fix(es): * A flaw was found in the way          |
|            |                         |                          |                       | memory was being allocated on the stack for     |
|            |                         |                          |                       | user space binaries. If heap (or different      |
|            |                         |                          |                       | memory region) and stack memory regions were    |
|            |                         |                          |                       | adjacent to each other, an attacker could       |
|            |                         |                          |                       | use this flaw to jump over the stack guard      |
|            |                         |                          |                       | gap, cause controlled memory corruption on      |
|            |                         |                          |                       | process stack or the adjacent memory region,    |
|            |                         |                          |                       | and thus increase their privileges on the       |
|            |                         |                          |                       | system. This is glibc-side mitigation which     |
|            |                         |                          |                       | blocks processing of LD_LIBRARY_PATH for        |
|            |                         |                          |                       | programs running in secure-execution mode and   |
|            |                         |                          |                       | reduces the number of allocations performed     |
|            |                         |                          |                       | by the processing of LD_AUDIT, LD_PRELOAD,      |
|            |                         |                          |                       | and LD_HWCAP_MASK, making successful            |
|            |                         |                          |                       | exploitation of this issue more difficult.      |
|            |                         |                          |                       | (CVE-2017-1000366) Red Hat would like to thank  |
|            |                         |                          |                       | Qualys Research Labs for reporting this issue.  |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1480 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:2702     | policycoreutils          | 2.0.83-29.el6         | The policycoreutils packages contain the        |
|            |                         |                          |                       | core policy utilities required to manage        |
|            |                         |                          |                       | a SELinux environment. Security Fix(es): *      |
