Vulnerability_ID        Package                                                     Severity          Fix                                               CVE_Refs        Vulnerability_URL                                                     
CVE-2017-1000367        sudo-1.8.9p5-1ubuntu1.3                                     High              1.8.9p5-1ubuntu1.4                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000367        
CVE-2013-0157           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           util-linux-2.20.1-5.1ubuntu20.9                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-4235           login-1:4.1.5.1-1ubuntu9.2                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2013-4235           passwd-1:4.1.5.1-1ubuntu9.2                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2014-2893           libllvm3.4-1:3.4-1ubuntu3                                   Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-2893           
CVE-2014-8625           dpkg-1.17.5ubuntu5.7                                        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-8625           
CVE-2014-9114           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           util-linux-2.20.1-5.1ubuntu20.9                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9474           libmpfr4-3.1.2-1                                            Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9474           
CVE-2014-9761           libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2014-9761           libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2014-9761           multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2015-5180           libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5180           libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5180           multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5276           cpp-4.8-4.8.4-2ubuntu1~14.04.4                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5276           
CVE-2015-5276           gcc-4.8-base-4.8.4-2ubuntu1~14.04.4                         Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5276           
CVE-2015-5276           libstdc++6-4.8.4-2ubuntu1~14.04.4                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5276           
CVE-2015-8239           sudo-1.8.9p5-1ubuntu1.3                                     Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8239           
CVE-2015-8853           perl-5.18.2-2ubuntu1.1                                      Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8853           
CVE-2015-8853           perl-base-5.18.2-2ubuntu1.1                                 Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8853           
CVE-2015-8853           perl-modules-5.18.2-2ubuntu1.1                              Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8853           
CVE-2016-0634           bash-4.3-7ubuntu1.5                                         Low               4.3-7ubuntu1.7                                                    http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-0634           
CVE-2016-10087          libpng12-0-1.2.50-1ubuntu2.14.04.2                          Low               1.2.50-1ubuntu2.14.04.3                                           http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-10087          
CVE-2016-1234           libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-1234           
CVE-2016-1234           libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-1234           
CVE-2016-1234           multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-1234           
CVE-2016-2090           libbsd0-0.6.0-2ubuntu1                                      Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2090           
CVE-2016-2774           isc-dhcp-client-4.2.4-7ubuntu12.8                           Low               4.2.4-7ubuntu12.12                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2774           
CVE-2016-2774           isc-dhcp-common-4.2.4-7ubuntu12.8                           Low               4.2.4-7ubuntu12.12                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2774           
CVE-2016-2781           coreutils-8.21-1ubuntu5.4                                   Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2781           
CVE-2016-3189           bzip2-1.0.6-5                                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3189           
CVE-2016-3189           libbz2-1.0-1.0.6-5                                          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3189           
CVE-2016-3706           libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3706           
CVE-2016-3706           libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3706           
CVE-2016-3706           multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3706           
CVE-2016-4429           libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-4429           
CVE-2016-4429           libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-4429           
CVE-2016-4429           multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-4429           
CVE-2016-5011           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011           
CVE-2016-5011           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011           
CVE-2016-5011           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011           
CVE-2016-5011           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011           
CVE-2016-5011           util-linux-2.20.1-5.1ubuntu20.9                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011           
CVE-2016-5407           libxv1-2:1.0.10-1                                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5407           
CVE-2016-6185           perl-5.18.2-2ubuntu1.1                                      Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6185           
CVE-2016-6185           perl-base-5.18.2-2ubuntu1.1                                 Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6185           
CVE-2016-6185           perl-modules-5.18.2-2ubuntu1.1                              Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6185           
CVE-2016-6323           libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6323           
CVE-2016-6323           libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6323           
CVE-2016-6323           multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.10                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-6323           
CVE-2016-7944           libxfixes3-1:5.0.1-1ubuntu1.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7944           
CVE-2016-7945           libxi6-2:1.7.1.901-1ubuntu1.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7945           
CVE-2016-7946           libxi6-2:1.7.1.901-1ubuntu1.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7946           
CVE-2016-7947           libxrandr2-2:1.5.0-1~trusty1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7947           
CVE-2016-7948           libxrandr2-2:1.5.0-1~trusty1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7948           
CVE-2016-7949           libxrender1-1:0.9.8-1build0.14.04.1                         Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7949           
CVE-2016-7950           libxrender1-1:0.9.8-1build0.14.04.1                         Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7950           
CVE-2016-7951           libxtst6-2:1.2.2-1                                          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7951           
CVE-2016-7952           libxtst6-2:1.2.2-1                                          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7952           
CVE-2016-7953           libxvmc1-2:1.0.8-1ubuntu1                                   Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-7953           
CVE-2016-8625           libcurl3-7.35.0-1ubuntu2.10                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-8625           
CVE-2016-8625           libcurl3-gnutls-7.35.0-1ubuntu2.10                          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-8625           
CVE-2016-9586           libcurl3-7.35.0-1ubuntu2.10                                 Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9586           
CVE-2016-9586           libcurl3-gnutls-7.35.0-1ubuntu2.10                          Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9586           
CVE-2016-9840           zlib1g-1:1.2.8.dfsg-1ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9840           
CVE-2016-9841           zlib1g-1:1.2.8.dfsg-1ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9841           
CVE-2016-9842           zlib1g-1:1.2.8.dfsg-1ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9842           
CVE-2016-9843           zlib1g-1:1.2.8.dfsg-1ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-9843           
CVE-2017-1000100        libcurl3-7.35.0-1ubuntu2.10                                 Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000100        
CVE-2017-1000100        libcurl3-gnutls-7.35.0-1ubuntu2.10                          Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000100        
CVE-2017-1000101        libcurl3-7.35.0-1ubuntu2.10                                 Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000101        
CVE-2017-1000101        libcurl3-gnutls-7.35.0-1ubuntu2.10                          Low               7.35.0-1ubuntu2.11                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000101        
CVE-2017-1000408        libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000408        
CVE-2017-1000408        libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000408        
CVE-2017-1000408        multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000408        
CVE-2017-1000409        libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000409        
CVE-2017-1000409        libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000409        
CVE-2017-1000409        multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000409        
CVE-2017-10790          libtasn1-6-3.4-3ubuntu0.4                                   Low               3.4-3ubuntu0.6                                                    http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-10790          
CVE-2017-11109          vim-common-2:7.4.052-1ubuntu3.1                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11109          
CVE-2017-11109          vim-tiny-2:7.4.052-1ubuntu3.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11109          
CVE-2017-11462          krb5-locales-1.12+dfsg-2ubuntu5.3                           Low               1.12+dfsg-2ubuntu5.4                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11462          
CVE-2017-11462          libgssapi-krb5-2-1.12+dfsg-2ubuntu5.3                       Low               1.12+dfsg-2ubuntu5.4                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11462          
CVE-2017-11462          libk5crypto3-1.12+dfsg-2ubuntu5.3                           Low               1.12+dfsg-2ubuntu5.4                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11462          
CVE-2017-11462          libkrb5-3-1.12+dfsg-2ubuntu5.3                              Low               1.12+dfsg-2ubuntu5.4                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11462          
CVE-2017-11462          libkrb5support0-1.12+dfsg-2ubuntu5.3                        Low               1.12+dfsg-2ubuntu5.4                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-11462          
CVE-2017-12132          libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12132          
CVE-2017-12132          libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12132          
CVE-2017-12132          multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12132          
CVE-2017-12133          libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12133          
CVE-2017-12133          libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12133          
CVE-2017-12133          multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12133          
CVE-2017-12424          login-1:4.1.5.1-1ubuntu9.2                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12424          
CVE-2017-12424          passwd-1:4.1.5.1-1ubuntu9.2                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-12424          
CVE-2017-14159          libldap-2.4-2-2.4.31-1+nmu2ubuntu8.3                        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-14159          
CVE-2017-15670          libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15670          
CVE-2017-15670          libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15670          
CVE-2017-15670          multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15670          
CVE-2017-15804          libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15804          
CVE-2017-15804          libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15804          
CVE-2017-15804          multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15804          
CVE-2017-16997          libc-bin-2.19-0ubuntu6.9                                    Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-16997          
CVE-2017-16997          libc6-2.19-0ubuntu6.9                                       Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-16997          
CVE-2017-16997          multiarch-support-2.19-0ubuntu6.9                           Low               2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-16997          
CVE-2017-17087          vim-common-2:7.4.052-1ubuntu3.1                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-17087          
CVE-2017-17087          vim-tiny-2:7.4.052-1ubuntu3.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-17087          
CVE-2017-2518           libsqlite3-0-3.8.2-1ubuntu2.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-2518           
CVE-2017-2625           libxdmcp6-1:1.1.1-1                                         Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-2625           
CVE-2017-2626           libice6-2:1.0.8-2                                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-2626           
CVE-2017-3144           isc-dhcp-client-4.2.4-7ubuntu12.8                           Low               4.2.4-7ubuntu12.12                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-3144           
CVE-2017-3144           isc-dhcp-common-4.2.4-7ubuntu12.8                           Low               4.2.4-7ubuntu12.12                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-3144           
CVE-2017-3735           libssl1.0.0-1.0.1f-1ubuntu2.22                              Low               1.0.1f-1ubuntu2.23                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-3735           
CVE-2017-3735           openssl-1.0.1f-1ubuntu2.22                                  Low               1.0.1f-1ubuntu2.23                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-3735           
CVE-2017-5953           vim-common-2:7.4.052-1ubuntu3.1                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-5953           
CVE-2017-5953           vim-tiny-2:7.4.052-1ubuntu3.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-5953           
CVE-2017-6512           perl-5.18.2-2ubuntu1.1                                      Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6512           
CVE-2017-6512           perl-base-5.18.2-2ubuntu1.1                                 Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6512           
CVE-2017-6512           perl-modules-5.18.2-2ubuntu1.1                              Low               5.18.2-2ubuntu1.4                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6512           
CVE-2017-6594           libasn1-8-heimdal-1.6~git20131207+dfsg-1ubuntu1.1           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libgssapi3-heimdal-1.6~git20131207+dfsg-1ubuntu1.1          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libhcrypto4-heimdal-1.6~git20131207+dfsg-1ubuntu1.1         Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libheimbase1-heimdal-1.6~git20131207+dfsg-1ubuntu1.1        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libheimntlm0-heimdal-1.6~git20131207+dfsg-1ubuntu1.1        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libhx509-5-heimdal-1.6~git20131207+dfsg-1ubuntu1.1          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libkrb5-26-heimdal-1.6~git20131207+dfsg-1ubuntu1.1          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libroken18-heimdal-1.6~git20131207+dfsg-1ubuntu1.1          Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-6594           libwind0-heimdal-1.6~git20131207+dfsg-1ubuntu1.1            Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-6594           
CVE-2017-7869           libgnutls-openssl27-2.12.23-12ubuntu2.6                     Low               2.12.23-12ubuntu2.8                                               http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-7869           
CVE-2017-7869           libgnutls26-2.12.23-12ubuntu2.6                             Low               2.12.23-12ubuntu2.8                                               http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-7869           
CVE-2017-8872           libxml2-2.9.1+dfsg1-3ubuntu4.13                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-8872           
CVE-2017-9525           cron-3.0pl1-124ubuntu2                                      Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-9525           
CVE-2018-0495           libgcrypt11-1.5.3-2ubuntu4.4                                Low               1.5.3-2ubuntu4.6                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0495           
CVE-2018-0495           libssl1.0.0-1.0.1f-1ubuntu2.22                              Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0495           
CVE-2018-0495           openssl-1.0.1f-1ubuntu2.22                                  Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0495           
CVE-2018-0732           libssl1.0.0-1.0.1f-1ubuntu2.22                              Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0732           
CVE-2018-0732           openssl-1.0.1f-1ubuntu2.22                                  Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0732           
CVE-2018-0734           libssl1.0.0-1.0.1f-1ubuntu2.22                              Low               1.0.1f-1ubuntu2.27                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0734           
CVE-2018-0734           openssl-1.0.1f-1ubuntu2.22                                  Low               1.0.1f-1ubuntu2.27                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0734           
CVE-2018-0737           libssl1.0.0-1.0.1f-1ubuntu2.22                              Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0737           
CVE-2018-0737           openssl-1.0.1f-1ubuntu2.22                                  Low               1.0.1f-1ubuntu2.26                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-0737           
CVE-2018-1000035        unzip-6.0-9ubuntu1.5                                        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000035        
